"gene_id","GSM461177","GSM461178","GSM461180","GSM461181"
"FBgn0250732",10.5716339452696,10.5724110216968,10.421203584722,10.4031498085042
"FBgn0027948",12.9193380285994,12.7562229696781,13.1683182312867,12.9262906674766
"FBgn0038675",9.01097711517895,9.00381734246849,9.1606719933191,9.09260427458194
"FBgn0037610",8.95590679404945,8.94114290556938,9.14098836983058,8.99101190746046
"FBgn0261859",10.523808221574,10.2747330454066,10.680219423001,10.5788009261204
"FBgn0037363",11.169654196946,10.9553732161464,10.7829573149966,10.838919354912
"FBgn0039732",8.74685127747128,8.79836922280498,8.60581702317606,8.6643727324741
"FBgn0038224",10.2712712342817,10.3185110662264,10.4446035336336,10.4384678878327
"FBgn0264776",9.06340202865839,9.33571790757462,9.09231325907613,9.0561365360625
"FBgn0261436",10.0883826134704,10.1077923775848,9.88916923739134,10.0900152990787
"FBgn0027574",9.66928576400549,9.52170372924025,9.45925156165603,9.4482923138322
"FBgn0260746",10.4457952512169,10.5949586853713,10.5917259719831,10.8010635043232
"FBgn0037930",11.1544433223108,11.3283343963284,11.3702170157317,11.3850593700476
"FBgn0027095",10.8213501875999,11.1268481478509,11.1144065405317,11.2725631100997
"FBgn0051450",8.98928449028857,9.22083462880852,8.96508301089285,9.11971436859914
"FBgn0037794",9.01365856944778,9.11934322356363,9.13701074068497,9.0274194085818
"FBgn0039229",10.957342445698,10.8014750015924,10.8529371388097,10.8637865351195
"FBgn0065064",8.12511075583049,7.86804585191469,8.17806110952729,7.97264491302123
"FBgn0038737",8.73638290480953,8.85601947423497,8.88286470583134,8.9241839292864
"FBgn0039291",8.43971130669232,8.51126437763387,8.32848295472951,8.40865837938345
"FBgn0038966",9.33765619309458,9.47096290299255,9.15676217014122,9.22027207260029
"FBgn0038055",9.25390342335518,9.14824571328626,9.27932189318804,9.34221150474032
"FBgn0261792",9.26039295534896,9.15535865256295,9.11284900095143,9.22215925301875
"FBgn0037709",9.17773691529641,9.29234633070982,9.21406596214503,9.12587950278368
"FBti0019291",8.27987158975188,8.35376818842627,8.2683654374438,8.00057882779645
"FBgn0037777",8.30423202821033,8.31068444781403,8.19013321835423,8.23078166421513
"FBgn0046685",10.629394065415,10.6649875202023,10.8167143660483,10.6989506640828
"FBgn0038993",7.93767330355053,7.89071235761552,7.90648673734117,7.87264983820484
"FBgn0004395",10.2341598986979,10.1668057378072,10.0258249149376,10.0183444414618
"FBgn0266674",9.51614769602744,9.61987204247139,9.65343360608169,9.57460561335879
"FBgn0039019",9.08118058139365,9.13388596510704,9.28985703897222,9.23900878336161
"FBgn0039172",10.3969757467509,10.6480890281704,10.7319359759285,10.8153079140383
"FBgn0011290",9.6785642105913,9.79199826523295,9.83578556914814,9.90806242219507
"FBgn0037747",9.18235762296677,9.31112609813726,9.38720738115122,9.35577540288276
"FBgn0037751",8.84265725561621,8.93683112619482,8.98353752062749,8.93642909044825
"FBgn0039486",7.58412637449101,7.81607005346953,7.96907971414911,7.93183675994595
"FBgn0039073",8.84893756325096,8.67737709191195,9.08399302028378,8.88656693885979
"FBgn0040256",8.64816449211848,8.65465149039113,8.61251089669925,8.48340915464369
"FBgn0039404",8.84893756325096,8.87910591299711,9.00168200583338,9.02517910843556
"FBgn0005674",12.1106067178729,12.0782613194389,12.0739157586767,11.9510422663186
"FBgn0011768",11.094120957584,11.0966474112097,11.2253063549677,11.2585301972033
"FBgn0037917",9.9995411257099,10.1619844391015,9.76107241779545,9.84643997412104
"FBgn0086365",12.0385300397922,12.0201957678215,11.5228957226387,11.5047779448211
"FBgn0017567",10.4122497006782,10.6560003359825,10.4860368380232,10.4965927671532
"FBgn0039290",9.35572306210225,9.39219814667556,9.3072118995594,9.1562152816418
"FBgn0038577",9.09619800914194,9.03975477696952,9.18002467021952,9.24642074939327
"FBgn0037720",10.7139634061919,10.4694047623611,10.5864962570114,10.5994451121457
"FBgn0038344",11.3423884509798,11.3057213174771,11.4066439522027,11.3285382516649
"FBgn0037678",8.07398065010552,7.81607005346953,8.47536321583658,8.25853953224654
"RR48352_transposable_element",7.89767950704671,7.81607005346953,7.90648673734117,7.90947757127529
"FBgn0051072",9.76931113249959,9.73120352289261,9.77540873174363,9.7302108413705
"FBgn0037718",11.5125422964307,11.6440778507389,11.2800848880669,11.3578525158668
"FBgn0286071",9.38913399217352,9.42090856428661,9.91507720530442,9.83260557301289
"FBgn0266399",8.45441593491047,8.37839926712267,8.46747000991063,8.25308645462135
"FBgn0041588",10.0804396336473,10.0600523477083,10.3454234227892,10.2897908675649
"FBgn0039557",9.68317857336101,9.68136381600481,9.77778293769366,9.86692403641466
"FBgn0266598",7.88314082163773,7.9117929324011,7.96907971414911,7.93183675994595
"FBgn0038725",8.20760447463448,8.0606367079219,8.14018482338602,8.21349902331176
"FBgn0039302",12.7336718986948,12.5630837044946,12.7220828846863,12.5487925511679
